France,Paris
Germany,Berlin
Italy,Rome
Spain,Madrid
England,London
Japan,Tokyo
China,Beijing
Russia,Moscow
Brazil,Brasilia
Argentina,Buenos
Mexico,Mexico
Canada,Ottawa
Australia,Canberra
India,Delhi
Egypt,Cairo
Greece,Athens
Turkey,Ankara
Poland,Warsaw
Sweden,Stockholm
Norway,Oslo
Denmark,Copenhagen
Netherlands,Amsterdam
Belgium,Brussels
Austria,Vienna
Switzerland,Bern
Portugal,Lisbon
Ireland,Dublin
Scotland,Edinburgh
Korea,Seoul
Thailand,Bangkok
Vietnam,Hanoi
Indonesia,Jakarta
Malaysia,Kuala
Philippines,Manila
Pakistan,Islamabad
Iran,Tehran
Iraq,Baghdad
Israel,Jerusalem
Jordan,Amman
Syria,Damascus
